word,pos_symbol,pos_word,meaning
bíngkal,VB,verb,"to break in a door, to force an entrance."
bírhen,NN,noun,"virgin, mary, the mother of jesus christ."
bís’ak,VB,verb,"of wood, to cleave, to split."
bisán,CC,conjunction,"even if, although, in spite of."
bisáya’,JJ,adjective,"visayan, of visayan origin."
bísi,NN,noun,"vice, substitute."
bisikléta,NN,noun,bicycle.
bisikléta,VB,verb,to ride a bicycle.
bísi,NN,noun,vice-president.
bisíta,NN,noun,"visitor, guest."
bisíta,VB,verb,"to visit, to call upon, to pay a visit."
bísta,NN,noun,"view, panorama, scene."
bísyu,NN,noun,"vice, fault."
bísyu,VB,verb,"to be naughty, to be wicked, to disobey, to fuss."
bítad,VB,verb,"to open, to unfold, to spread out so as to see closely."
bitamína,NN,noun,"vitamin, nutrient."
bítay,VB,verb,"to hang, to string up, to suspend."
bítbit,VB,verb,"to bring along, to carry."
bitík,NN,noun,"flea, tick."
bitín,NN,noun,snake.
bitú’un,NN,noun,star.
bíya’,VB,verb,"to leave behind, to abandon."
blángko,JJ,adjective,"expressionless, blank, empty."
blángko,NN,noun,empty space provided on a piece of paper.
blósa,NN,noun,"blouse, top."
bokabuláryo,NN,noun,vocabulary.
bodéga,NN,noun,"warehouse, storage, cellar."
bóla,NN,noun,"ball, round object."
bómba,NN,noun,"bomb, hand pump for water."
bombéro,NN,noun,fireman.
bombílya,NN,noun,electric bulb.
bómbo,NN,noun,drum.
boradór,NN,noun,eraser.
bórda,NN,noun,"embroidery, design."
bórda,VB,verb,to embroider.
botélya,NN,noun,bottle.
botíka,NN,noun,"medicine store, drug store."
bóto,NN,noun,vote.
bóto,VB,verb,"to vote, to cast a vote."
bú’ang,JJ,adjective,"fool, stupid, crazy."
bú’ang,NN,noun,"fool, simpleton, idiot."
bu’áya,NN,noun,"alligator, crocodile."
búbu,VB,verb,"to baptize, to pour water into a container."
bubún,NN,noun,well.
bubungán,NN,noun,roof.
buká’,NN,noun,"opening, crack."
buká’,JJ,adjective,"open, cut, split, cracked."
buká’,VB,verb,"to cut open, to crack."
búkad,VB,verb,"to open, to unfold, to bloom, to undo a package."
bukál,NN,noun,"bubble, froth."
bukál,VB,verb,"to boil, to bubble."
bukás,JJ,adjective,"opened, candid."
bukás,VB,verb,"to open, to unfold, to begin."
búkaw,NN,noun,owl.
búkbuk,NN,noun,weevil.
búkbuk,VB,verb,"to crash, to grind, to make into powder."
búkid,NN,noun,"hill, mountain."
bukú,NN,noun,"node, joint."
búku’,NN,noun,"plan, proposal, intention, proposition."
búku’,VB,verb,"to say, to plan, to think of, to intent to."
bukúbukú,NN,noun,"joint, ankle."
búktut,NN,noun,hunchback.
búkud,JJ,adjective,"secure, strong."
bukúl,NN,noun,"lump, swelling, protuberance; of plants, bud."
búkut,VB,verb,"to confine, to isolate, to pen or coop up."
búdhi’,NN,noun,"conscience, inner self."
búdhi’,VB,verb,"to betray, to be faithless, to be disloyal."
búdlay,JJ,adjective,"difficult, hard."
búdlay,VB,verb,"to feel the difficulty, to tire."
bugá,VB,verb,"to belch forth, to spit out as a volcano."
bugál,NN,noun,"pride, haughtiness."
bugál,VB,verb,"to be proud, to show off."
