word,pos_symbol,pos_word,meaning
huní,n,noun,"sound, chirp, whine."
huní,v,verb,"of birds and insects, to hum, to chirp, to whistle."
húnit,adj,adjective,"durable, lasting."
hún’ug,n,noun,"dew, moisture on the ground."
húnung,v,verb,"to stop, to cease, to detain."
hunús,n,noun,"shelf, drawer."
húnus,v,verb,"to draw out, to pull out as a drawer."
hunúsbu’,adj,adjective,"fretful, whimpering."
húnyo,n,noun,june.
hungúd,adj,adjective,intentional.
hungúd,v,verb,"to do intentionally, to act voluntarily."
hupay,n,noun,nightmare.
hupút,v,verb,"to keep, to hold, to have."
huragúk,n,noun,snore.
huragúk,v,verb,to snore.
huramúl,adj,adjective,damp.
hurínghúring,n,noun,"rumor, news."
hurínghúring,v,verb,"to be rumored, to be spread as news."
húrma,n,noun,"mold, cast."
húrma,v,verb,"to mold, to fit into a cast."
húrno,n,noun,oven.
húrno,v,verb,to bake in an oven.
hurubatún,n,noun,"maxim, saying."
hurúng,n,noun,"bad guy, goon."
huruśhurus,adj,adjective,"cad, rude, without gentlemanly instincts."
húsay,n,noun,"comb, settlement, solution."
húsay,v,verb,"to comb one’s hair, to settle, to arrange, to set in order."
húslu’,v,verb,"to unsheathe, to draw out by accident, to drop off its container."
hústu,adv,adverb,"enough, adequate, correct, fit, just right."
hutík,n,noun,whisper.
hutík,v,verb,to speak in a whisper.
hú’u,adv,adverb,"yes, affirmative particle."
hu’úl,n,noun,"sadness, woe."
hu’út,adj,adjective,tight.
hu’út,n,noun,tightness.
huwád,v,verb,"to copy, to duplicate."
huwés,n,noun,judge.
húy,intj,interjection,"hey, oh."
huyá’,n,noun,"shame, disgrace."
huyá’,adj,adjective,"disgraceful, shameful."
huyá’,v,verb,"to be ashamed, to feel reproach."
húyab,v,verb,to run away suddenly with great speed.
húy’ab,n,noun,yawn.
húy’ab,v,verb,to yawn.
huyá’huyá’,n,noun,sensitive plant.
húyang,adj,adjective,"rickety, shaky."
húyang,v,verb,"to shake, to be rickety."
huyúp,n,noun,"blast, blow, breath."
huyúp,v,verb,"to blow, to breathe upon, to expel breath."
hwébes,n,noun,thursday.
1-i-,va,verbal affix,general proposed action instrumental affix.
2-i-,va,verbal affix,goal focus affix.
-i,va,verbal affix,benefactive-locative focus affix.
ibábaw,adv,adverb,"on top of, on the surface."
ibábaw,v,verb,"to be on top of, to put on top."
ibán,n,noun,"other, some other."
íbid’íbid,v,verb,"to chaperon, to tag along, to tail along."
íbug,v,verb,"to have a passion for, to crave for."
íbug,na,noun formative,’íbug akú sang páhu’.
íbug,na,noun formative,si gabriel.
2-ika-,va,verbal affix,designating possibility of an action to happen.
ikáw,pr,pronoun,you (singular second person nominal pronoun).
íkit,adj,adjective,"close together, dense, least possible space between the elements."
íkug,n,noun,tail.
ikúg’íkug,v,verb,"to tail along, to tag along, to wag the tail as a dog."
idálum,adv,adverb,"underneath, below, at the bottom."
