Word,Part of speech,affixation,meaning,example,English example,source
dipaha,adjective,,made of straw,,,https://en.wiktionary.org/wiki/dipaha
diyotay,adjective,,"little, small
Synonym: gamay",,,https://en.wiktionary.org/wiki/diyotay
diyutay,adjective,,"Deprecated, pre-2014 spelling of diyotay.",,,https://en.wiktionary.org/wiki/diyutay
dorado,adjective,,"A mahi-mahi or dolphinfish (Coryphaena hippurus), fish with a dorsal fin that runs the length of the body, also known for iridescent coloration.",,,https://en.wiktionary.org/wiki/dorado
dugoon,adjective,,"bloody, gory",,,https://en.wiktionary.org/wiki/dugoon
dugus,adjective,,the best part of a thing,,,https://en.wiktionary.org/wiki/dugus
dumaan,adjective,,old,,,https://en.wiktionary.org/wiki/dumaan
dunot,adjective,,decayed; rotten,,,https://en.wiktionary.org/wiki/dunot
dupak,adjective,,"dirty, foul, obscene, smutty",,,https://en.wiktionary.org/wiki/dupak
dutan-on,adjective,,"earthly, worldly",,,https://en.wiktionary.org/wiki/dutan-on
enkantado,adjective,,magical,,,https://en.wiktionary.org/wiki/enkantado
gabuk,adjective,,"rotten, decayed, decomposed",,,https://en.wiktionary.org/wiki/gabuk
gago,adjective,,jerk; bastard,,,https://en.wiktionary.org/wiki/gago
gamay,adjective,,Alternative letter-case form of Gamay.,,,https://en.wiktionary.org/wiki/gamay
gambal,adjective,,bulky,,,https://en.wiktionary.org/wiki/gambal
garot,adjective,,dense,,,https://en.wiktionary.org/wiki/garot
gastado,adjective,,past participle of gastar,,,https://en.wiktionary.org/wiki/gastado
ginsugoran,adjective,,elementary,,,https://en.wiktionary.org/wiki/ginsugoran
gipak,adjective,,broken,,,https://en.wiktionary.org/wiki/gipak
gulang,adjective,,"mature (fruits)
Antonym: linghod",,,https://en.wiktionary.org/wiki/gulang
gutok,adjective,,"(of a container, clothing, etc.) filled to the point tightness",,,https://en.wiktionary.org/wiki/gutok
gutom,adjective,,"hungry; famished
Synonym: punaw
Coordinate term: paha
Gutom na an bisita.The visitor is already hungry.",,,https://en.wiktionary.org/wiki/gutom
habal,adjective,,"to mate; to copulate
Synonyms: iyot, kayat, hilawas, jerjer, torjak",,,https://en.wiktionary.org/wiki/habal
halampangan,adjective,,trifling,,,https://en.wiktionary.org/wiki/halampangan
halandumon,adjective,,desirable,,,https://en.wiktionary.org/wiki/halandumon
halang,adjective,,hot; pungent; spicy,,,https://en.wiktionary.org/wiki/halang
halog,adjective,,ample,,,https://en.wiktionary.org/wiki/halog
handa,adjective,,"prepared
Synonyms: andam, preparado, puwesto",,,https://en.wiktionary.org/wiki/handa
hanlug,adjective,,slippery,,,https://en.wiktionary.org/wiki/hanlug
hanluk,adjective,,alternative spelling of hánlug,,,https://en.wiktionary.org/wiki/hanluk
hangaway,adjective,,"martial, warlike",,,https://en.wiktionary.org/wiki/hangaway
hanginan,adjective,,well-ventilated,,,https://en.wiktionary.org/wiki/hanginan
haway,adjective,,(Wearside) Alternative spelling of howay.,,,https://en.wiktionary.org/wiki/haway
hinali,adjective,,sudden,,,https://en.wiktionary.org/wiki/hinali
hinlo,adjective,,"smooth, level",,,https://en.wiktionary.org/wiki/hinlo
hipos,adjective,,"to clean up; to collect, to gather",,,https://en.wiktionary.org/wiki/hipos
